Story URL,Title (Urdu),Title (English)
https://www.urdupoint.com/kids/detail/funny-stories/maal-e-muft-2912.html,مالِ مفت,Maal E Muft
https://www.urdupoint.com/kids/detail/funny-stories/ek-billi-ki-aap-beeti-2901.html,ایک بلی کی آپ بیتی,Ek Billi Ki Aap Beeti
https://www.urdupoint.com/kids/detail/funny-stories/woh-kon-tha-2851.html,وہ کون تھا؟,Woh Kon Tha?
https://www.urdupoint.com/kids/detail/funny-stories/woh-aaye-ghar-mein-2847.html,وہ آئے گھر میں,Woh Aaye Ghar Mein
https://www.urdupoint.com/kids/detail/funny-stories/lalach-ki-saza-2845.html,لالچ کی سزا,Lalach Ki Saza
https://www.urdupoint.com/kids/detail/funny-stories/chalak-budhiya-2833.html,چالاک بڑھیا,Chalak Budhiya
https://www.urdupoint.com/kids/detail/funny-stories/sabar-o-shukar-aur-lalach-2829.html,صبر و شکر اور لالچ,Sabar O Shukar Aur Lalach
https://www.urdupoint.com/kids/detail/funny-stories/naqalmand-2821.html,نقل مند,Naqalmand
https://www.urdupoint.com/kids/detail/funny-stories/hisab-jun-ka-tun-kunba-duba-kyun-2796.html,حساب جوں کا توں کنبہ ڈوبا کیوں,Hisab Jun Ka Tun Kunba Duba Kyun
https://www.urdupoint.com/kids/detail/funny-stories/apne-munh-mian-mithu-2789.html,اپنے منہ میاں مٹھو,Apne Munh Mian Mithu
https://www.urdupoint.com/kids/detail/funny-stories/bablo-aur-kerry-ki-chatni-2743.html,ببلو اور کیری کی چٹنی,Bablo Aur Kerry Ki Chatni
https://www.urdupoint.com/kids/detail/funny-stories/parai-billi-2739.html,پرائی بلی,Parai Billi
